experience,education,skills
"Currently Unemployed, Senior Developer","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2002
	                    
                    	","Management Proficiency, Planning/Organizing, Technical Proficiency,
c, c++, perl, clearcase, software engineer, unix, shell scripting, inetrmediate, Tuxedo, pro*c, informix 4gl, Billing, Python, Java, PL / SQL, oracle pl / sql, Sql, VC++, c sharp, head, senior project manager, delivery manager, senior manager, manager, project manager, director, Team Lead and c++, Program Manager, Senior Software Engineer, Technical Manager, technical lead, Team Lead, Boost, Stl, Excel vba, Acrobat javascript
"
c++ Developer,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2013
	                    
                    	","Accomplishments, Communication Proficiency, Creative Proficiency,
c++, mfc, win32, c#, asp.net core web api, angular, Html, CSS, JavaScript, JavaSE, Python, Entity Framework, PostgreSQL, Typescript
"
"Engineering Leader, Technical Specialist","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Planning/Organizing, Interpersonal Abilities, Management Proficiency,
.net, c#, c++, VC++, angularjs, Entity Framework, Asp.net Mvc, VC++, MFC, Win32, Multithreading, Socket Programming, mongodb, Python, MATLAB, Embedded C, Machine Learning, Autosar, Capl, Canalyzer, Uds, Canoe, Lin, Flexray, Devops, Jenkins, Git, Aws, Ansible, Puppet, Docker
"
"Lead Engineer II, Lead Engineer","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2005
	                    
                    	","Technical Proficiency, Planning/Organizing, Creative Proficiency,
C, c++, Data Structures, MIB, SNMP, Linux, socket programming
"
"Currently Unemployed, Engineering Manager","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2000
	                    
                    	","Management Proficiency, Planning/Organizing, Training/Mentoring,
c++, Java, PMP, Scrum, ooad, Android Development, Core Java, Mobile and Testing, OOPS, UML, bpmn, Technical Project Manager, project manager, senior project manager, engineering manager, Restful Webservices, Rpa, Microsoft Azure, Amazon Aws, Aws, Aws Certified
"
"Software developer , Software Engineer",BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Planning/Organizing, Creative Proficiency,
C, LINUX, Shell Scripting, c++
"
"Senior Software Engineer, Senior Software Engineer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
c, c++, stl, oops, c++11, operating system internals, networking fundamentals, Multithreading, Socket Programming, python3
"
"ARCHITECT / SOTWARE DESIGNER, SENIOR SOFTWARE ENGINEER","Other School /  Graduation , Other Post Graduation
                  	
	                  	
	                       		2004
	                    
                    	","Planning/Organizing, Management Proficiency, Creative Proficiency,
Java / J2EE, UNIX, C, c++, Json Parsing, Sqlite, Win32 Api, VC++, sql, XML, JUnit, Gcp, apache beam, Multithreading, Groovy, Gradle, keycloak, gcp cloud
"
"Technical Manager, Sr Lead Engineer","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2018
	                    
                    	","Interpersonal Abilities, Planning/Organizing, Technical Proficiency,
c, c++, ldra, uml, ooad, sw-sw integration, sw-hw integration, vb, java, Device Driver and ( RTOS, VxWorks ), Hdl, Description Language, Xilinx, Fpga, Vhdl, Verilog, 8086 Microprocessor, Microcontroller, OOPS, Design Pattern, Multithreading, Computer Networks, Operating System Concepts, Dbms Concepts, Data Structures, Embedded Linux
"
"Software Engineering manager, Software Engineer Advance","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2021
	                    
                    	","Technical Proficiency, Interpersonal Abilities, Planning/Organizing,
C, VC++, MFC, CAD and Design, CAD and Drafting, c++, Data Structures, Design Patterns, Algorithms
"
