experience,education,skills
"Treasury Officer, Finance Associate","B.com.  ( Commerce )  , M.com.  ( Commerce ) 
                  	
	                  	
	                       		2015
	                    
                    	","Interpersonal Abilities, Research Proficiency, Training/Mentoring,
Tally, Accountant, accounts executive, relationship manager, key account manager
"
"AGM, Senior manager","B.Sc.  ( Science )  , MBA /  PGDM
                  	
	                  	
	                       		2008
	                    
                    	","Planning/Organizing, Management Proficiency, Communication Proficiency,
treasury operations
"
"Treasury Investments, AVP Fixed Income Research","MBA /  PGDM
                  	
	                  	
                    	","
Credit Risk, Financial Analysis
"
"Manager Finance , senoir officer","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2008
	                    
                    	","Management Proficiency, Planning/Organizing, Training/Mentoring,
Treasury management - Corporate Finance, Cash Flow and Management
"
"Treasury Analyst, Account officer","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Planning/Organizing, Management Proficiency, Analytical Proficiency,
ACCOUNTS SUPERVISOR
"
Manager Treasury,"Other School /  Graduation , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Planning/Organizing, Management Proficiency, Analytical Proficiency,
sap, Excel, Advanced Excel, Ppt, Analysis, MIS Reports, Fund Management, Forex Management, Hedging, Banking Compliance, Cash Flow and Management
"
Sr Manager,B.com.  ( Commerce )  ,"Management Proficiency, Planning/Organizing, Analytical Proficiency,
, Treasury Operations
"
"Sr. Assistant Vice President ( Treasury Dealer ) , Forex Dealer",B.Sc.  ( Science )  ,"
Forex Trading, Money Markets, Liquidity Management, Treasury
"
"Head of Treasury, Chief Manager","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2003
	                    
                    	","Management Proficiency, Analytical Proficiency, Leadership Proficiency,
AND MARKETING, AND SALE, COLLECTION, CREDIT, FINANCE, FINANCIAL MARKETS, HEDGING, LENDING, MANAGERIAL, MARKETING, OPERATIONS, ORGANIZATIONAL SKILLS, PROBLEM SOLVING, QUOTING, RELATIONSHIP MANAGEMENT, SALE OF, TRADE FINANCE, TRADING
"
Assistant Manager,B.com.  ( Commerce )  ,"Management Proficiency, Planning/Organizing, Communication Proficiency,
Back-office Operations, banking and finance, Retail Banking, Treasury Operations, Nostro Reconciliation, Foreign Exchange, Foreign Trade
"
Manager - Treasury,"MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Management Proficiency, Analytical Proficiency, Planning/Organizing,
Treasury, , budgeting, , Banking Operations, Cash Flow and Management, sap treasury
"
Business Associate,"B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
                    	","
, Treasury Operations, Treasury Analyst, Business Analyst, Trade Finance
"
"Manager Retail Branch Banking, Trainee Teasury Operations","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2006
	                    
                    	","Management Proficiency, Planning/Organizing, Leadership Proficiency,
Banking operations, treasury operations, Branch Manager
"
"Treasury Analyst, Senior Accounts Executive","B.com.  ( Commerce )  , Other Post Graduation
                  	
	                  	
	                       		2006
	                    
                    	","
well versed with computer knowledge and efficient in working on: i & #41; ms office ii & #41; tally 7.2 & amp; 9.0 iii & #41; sap fico model r3. iv & #41; oracle r12 v & #41; navision vi & #41; jde, well versed with accounts receivable and accounts payable process and treasury functions, Bank Reconciliation, Financial Reporting, Cash Forecasting, karyba, go system, General Ledger Accountant
"
"Treasury Specialist, Account Executive","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Management Proficiency, Technical Proficiency,
Accountant, Taxation and Finance, Tally, Treasury Department, Cash Flow and Management
"
Deputy Manager Finance and Treasury,"MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
Finance & Treasury & banking, Corporate Finance, Finance Analyst, Trade Finance
"
"Assistant Vice President, Treasury Relationship Manager","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2010
	                    
                    	","Management Proficiency, Planning/Organizing, Teamwork,
Commercial Banking: Treasury, Trade Finance and Transaction Banking.
"
"DGM Finance, AGM Finance","B.com.  ( Commerce )  , CA  ( Chartered Accountant ) 
                  	
	                  	
	                       		2006
	                    
                    	","Management Proficiency, Analytical Proficiency, Planning/Organizing,
Budgeting Forecasting, Corporate Accounting, Financial Analyst, Financial Modules, Financial Planning, long term financials, Management Reporting, Mis Reports, strategy financials, Treasury, Variance Analysis
"
"Manager - Treasury, Treasury sales fx",BBA /  BBM /  BBS ,"Training/Mentoring, Planning/Organizing, Communication Proficiency,
Treasury, Forex, Money Markets, treasury sales, forex dealer, structuring products, Otc, hedge fund
"
Accountant - Treasury Management,"B.com.  ( Commerce )  , M.com.  ( Commerce ) 
                  	
	                  	
	                       		1997
	                    
                    	","Management Proficiency, Analytical Proficiency, Planning/Organizing,
Financial Analyst, Credit Analyst, Treasury
"
"Manager - Treasury / Group Finance, Treasurer / Group Finance","MBA /  PGDM
                  	
	                  	
	                       		2002
	                    
                    	","Management Proficiency, Planning/Organizing, Interpersonal Abilities,
BANKING, CAPITAL MARKETS, CASH, CASH MANAGEMENT, CREDIT, DEPLOYMENT, DOCUMENTATION, DUE DILIGENCE, FINANCE, FIXED INCOME, FORECASTING, FOREIGN EXCHANGE, HEDGING, MUTUAL FUND
"
"Manager Treasury Dealing, Treasury Dealer","B.com.  ( Commerce )  , PG Diploma
                  	
	                  	
	                       		2008
	                    
                    	","Planning/Organizing, Management Proficiency, Interpersonal Abilities,
& gt;Treasury dealer & gt;On hand experience of handling the requirements of daily funds management. & gt;Maintenance of statutory requirements for CRR SLR. & gt;Merchant cover operations, Foreign Exchange, Forex dealer, Forex trader, Money Market, Fixed Income, Liquidity Management, ALM dealer, CRR SLR maintenance, Regulatory framework, IntegratedTreasury infrastructure setup
"
"Vice President - Treasury & Risk Management, Sr. Manager","BBA /  BBM /  BBS , MBA /  PGDM
                  	
	                  	
	                       		2007
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
Risk Management and Treasury Operations
"
"Head -Accounts and Finance , Head -Accounts and Taxation","B.com.  ( Commerce )  , CA  ( Chartered Accountant ) 
                  	
	                  	
	                       		1996
	                    
                    	","Management Proficiency, Planning/Organizing, Interpersonal Abilities,
Management of Accounts, Taxation, Management information systems, Management of Working Capital, budgeting, ind as, Accounts Receivable, Accounts Payable, Finance, Banking, Treasury, Forex, Gst, Financial Accounting
"
"Treasury Officer, Account Officer",B.com.  ( Commerce )  ,"Research Proficiency, Management Proficiency, Creative Proficiency,
account assistant, accountant assistant, banking, retail banking, corporate banking, core banking, business banking, personal banking
"
"assistantmanager, Assistant Manager Accounts & Finance","B.com.  ( Commerce )  , CA  ( Chartered Accountant ) 
                  	
	                  	
	                       		2010
	                    
                    	","Management Proficiency, Analytical Proficiency, Planning/Organizing,
Treasury management
"
"Senior Manager, Manager",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Accomplishments, Teamwork,
Treasury, Forex, Finacle, Banking, Murex, Exotic, SAP, ARR, Derivative
"
Manager in KPMG India services,BE /  B.Tech  ( Engineering )  ,"
Credit Appraisal, Forex, Forex Operations, Trade Finance, Treasury Department, Treasury Management, Treasury Operations, Swift Payments, Swift Messages, letter of credit, Flexcube, JIRA, Confluence, Github
"
"Process Developer ( Senior TREASURY ANALYST ) , A.M.",BBA /  BBM /  BBS ,"Management Proficiency, Planning/Organizing, Analytical Proficiency,
Expertise in managing retail-banking and Corporate banking operations, Treasury Operations
"
"Team Lead, Treasury and cash Management specialist",B.com.  ( Commerce )  ,"Management Proficiency, Analytical Proficiency, Planning/Organizing,
ACCOUNT RECEIVABLE, ACCOUNTS PAYABLE, BANK RECONCILIATION, RECONCILIATION, Treasury
"
"Currently Unemployed, Associste","B.com.  ( Commerce )  , CFA  ( Chartered Financial Analyst ) 
                  	
	                  	
	                       		2014
	                    
                    	","Planning/Organizing, Management Proficiency, Interpersonal Abilities,
Management Reporting, Mis Reports, Back-office Operations, Compliance, Handling Projects, Automation, Enhancements, Stakeholder Management, Vendor Management, Treasury Operations, Bank Reconciliation
"
"Senior Manager, Treasury analyst","BBA /  BBM /  BBS , MBA /  PGDM
                  	
	                  	
	                       		2017
	                    
                    	","Management Proficiency, Planning/Organizing, Analytical Proficiency,
Analysis of Structured Finance, team handling, MS Office and Tools, Capital Market, analytical, Assistant Manager, Financial Market, Credit Analysis, Treasury
"
"Treasury Forex Operations, Assistant Manager",B.com.  ( Commerce )  ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
A / C, BANKING, CRM, DOS, LOANS, MDI, MICROSOFT OFFICE, MS-DOS, OF ACCOUNTS, OPERATIONS, PAYROLL, SOLUTIONS, TECHNICAL SUPPORT, TYPING, Treasury, Trade Finance, Forex, Foreign Exchange
"
"Sr Executive Treasury and Investment, Executive",B.com.  ( Commerce )  ,"Interpersonal Abilities, Planning/Organizing, Teamwork,
Tally ERP 9, Oracle 12, Treasury Operations
"
"Manager Treasury Front Office, Assistant Manager Treasury","B.com.  ( Commerce )  , PG Diploma
                  	
	                  	
	                       		2007
	                    
                    	","Planning/Organizing, Teamwork, Interpersonal Abilities,
: Forex, Treasury Management, Money Market, fx trading
"
"Treasury Manager, Service Manager","BCA  ( Computer Application )  , MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Interpersonal Abilities, Technical Proficiency, Management Proficiency,
forex operations, retail remittance, , handling nri clients, Banking, Branch Operations, Wealth Management, Treasury Department, Liquidity Management
"
"Advisor ( Team Lead / Manager ) , Team Lead","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2012
	                    
                    	","Management Proficiency, Planning/Organizing, Interpersonal Abilities,
ACCOUNTANT, ACCOUNTING, ACCOUNTS FOR, ACCOUNTS IN, ACCOUNTS WITH, AP, AR, AWARD, BALANCE SHEET, BANK RECONCILIATION, BASIS, BOOKKEEPING, CASH, CLOSING, COLLECTIONS, CREDIT, DATA ENTRY, EXCEL, FILE, Fact, Fact ERP, HYPERION, INCREASE, INVOICES, MAINTENANCE, Treasury, Quantum, sap, netting, interest
"
"Head Treasury, Sr. Manager Finance","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2008
	                    
                    	","Interpersonal Abilities, Management Proficiency, Communication Proficiency,
BANKING OPERATIONS, CASH, BUDGET, CONTRACTS, CREDIT, FINANCE, EXCHANGE
"
"Senior Java Developer, Senior Software Engineer","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2013
	                    
                    	","Planning/Organizing, Management Proficiency, Technical Proficiency,
AEM, CSS, HTML, Multithreading, pl / sql, Spring Boot, CoreJava
"
Java Full Stack Engineer,BE /  B.Tech  ( Engineering )  ,"
Core Java, Cloud Computing, sql, MySQL, HTML, CSS, Reactjs, JUnit, Api, Postman, Data Structures, Advanced Java, Java Server Pages, Database
"
"Java Developer, Application Consultant",BE /  B.Tech  ( Engineering )  ,"
Core Java, Advanced Java, Spring, springboot, Hibernate Framework, Agile Methodology, MySQL, Debugging Tools, Continuous Integration, unittest
"
Jr Java Developer,B.Sc.  ( Science )  ,"
Core Java, HTML, CSS, mssql, Spring Boot
"
Java Developer,BE /  B.Tech  ( Engineering )  ,"
Java, Spring Framework, Spring Boot, Hibernate, Servlets, sql
"
java developer,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Technical Proficiency, Communication Proficiency,
java
"
Java Backend Developer,BCA  ( Computer Application )  ,"
Core Java, MySQL, Hibernate, Spring Boot
"
Java developer,"BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2020
	                    
                    	","
HTML, Core Java, Jdbc, Servlet, Spring Boot, Hibernate, JPA, microservices, webservices, JSP, Aws, Rabbitmq, Kafka, Docker
"
"Java developer, Java developer",BE /  B.Tech  ( Engineering )  ,"
java, spring boot, mysql, restful webservice, core java, advanced java, j2ee, Postman, Json, Linux, c++, Hibernate, Mvc Architecture, ORM, Collection, Exception Handling, Eclipse, Apache server
"
Java developer,"M.Sc.  ( Science ) 
                  	
	                  	
                    	","
Java Developer
"
Java Software Engineer,"B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2019
	                    
                    	","
spring boot, restful webservices, hibernate, spring mvc, core java, mysql, html, css, spring, jdbc, tomcat, eclipse, j2ee, java, maven, postman
"
Jr. Java Developer,BE /  B.Tech  ( Engineering )  ,"
Core Java, j2ee web services, Spring Mvc, Spring Framework, Spring Boot, Hibernate, spring microservice, Jpa, Rest Api
"
java backend Developer,BE /  B.Tech  ( Engineering )  ,"
java, Spring Boot, SpringMVC, JDBC, JavaScript, Html, CSS, MYSQL, hibarnate, Core Java, sql, Problem Solving, Dbms, OOPS, Data Structures
"
Member Technical Staff - Java,BE /  B.Tech  ( Engineering )  ,"
Core Java, Java, HTML, CSS, MySQL
"
"Java Developer, Java Developer",BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Research Proficiency, Communication Proficiency,
CoreJava, Java, Spring Framework, Spring Mvc, Spring Boot, JPA, Hibernate, java 8
"
"Deputy Manager ( Java ) , Sr Java Developer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Creative Proficiency, Technical Proficiency,
Java, J2ee, Spring, web service, Restful Webservices, Jquery, Javascript
"
Java software developer,BE /  B.Tech  ( Engineering )  ,"
0, HTML, CSS, Core Java, Advanced Java, Enterprise Java, Java Applets, Java Eclipse, Javascript, Spring Boot, API, JSON, JSP, MS SQL Server, ASP.net, JSTL, Data structures, DBMS, Multithreading, Collection framework, ERP diagram
"
"Java devloper, Front end",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Communication Proficiency, Technical Proficiency,
Core Java, MySQL, Hibernate, Spring Mvc, HTML, Css3, bootstrap 4
"
full stack Java trainee,Diploma-Engineering ,"
Java, HTML, XML, MS Office, JSP, CSS
"
Java Backend Engineer,"B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2022
	                    
                    	","
core Java, j2ee, sql, , Hibernate, Spring Boot, Spring Framework, Aws, MySQL, Rabbitmq, Microservices, Mongodb, Swagger, Restapi
"
"Senior Java developer, java developer","MCA /  PGDCA
                  	
	                  	
	                       		2011
	                    
                    	","Management Proficiency, Interpersonal Abilities, Creative Proficiency,
java developer, servlet, software engineer, jsp, j2ee, servlets, mysql, javascript, java, jdbc, json, web services
"
Java Developer,BE /  B.Tech  ( Engineering )  ,"
java
"
JAVA Programmer,"B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2008
	                    
                    	","Communication Proficiency, Technical Proficiency, Planning/Organizing,
core java, Hibernate, J2EE, Java, Jquery, jsp, servlet, Soap web services, Spring, struts, XML Beans, Spring boot, Spring batch, AWS, Rest webservices
"
"Java tech lead, Team lead","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2005
	                    
                    	","Planning/Organizing, Creative Proficiency, Communication Proficiency,
Core Java, Jsp, Servlets, Jdbc, J2EE, Jquery, Spring Framework, Spring Mvc, Spring Boot, Oracle Weblogic, sql, Javascript Developer, Oracle Apex, Rest Api, Hibernate
"
Java software Developer,B.Sc.  ( Science )  ,"
Spring Boot, Hibernate, , Spring Mvc, Spring Ioc, JDBC, JSP, MySQL, Agile Methodology, JIRA, Core Java, Advanced Java, Java Developer
"
Software Engineer Java,"MCA /  PGDCA
                  	
	                  	
                    	","
Java, Spring Boot, Hibernate, PostgreSQL, Hazelcast, PostGIS, Hands on Angular, Hands on Linux, Multithreading, API development
"
"Senior Java Developer, Assistant Consultant / Senior Java Developer",BE /  B.Tech  ( Engineering )  ,"
Java Developer, Spring Boot, Rest Api, micro services, angular
"
"Java Technical Lead, IT Manager","BE /  B.Tech  ( Engineering )  , MCA /  PGDCA
                  	
	                  	
	                       		2002
	                    
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
jsp, spring, java, Hibernate, Apache Web Server, Struts, Project Management, Spring Boot, microservice, Rest Api, Microsoft Azure
"
BackEnd Developer JAVA,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Technical Proficiency,
Core Java, Spring Framework, Hibernate, JDBC, Eclipse, Mysql, Collections
"
Java developer in ATOS-Syntel with 1.1 years of experience,B.Sc.  ( Science )  ,"
Core Java, Spring, Spring Boot, HTML, CSS, Oracle and Developer, Advanced Java, Unit Testing, Selenium Automation
"
"Senior Software Engineer-Java, Technical Specialist-J2ee",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Analytical Proficiency, Management Proficiency,
Core Java, Advanced Java, Unix, Sql, Hibernate, Struts, Jsp, Servlets, Data Science, Power Bi, Artificial Intelligence, Machine Learning, deep learning, Java, Python, r programming, Tableau, Data Visualization, Django
"
"Java developer, Soft engg",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Interpersonal Abilities, Communication Proficiency,
Advanced Java, Core Java, Java Eclipse, JSP, Servlets, Jdbc, Tomcat, Ajax Controls, Mysql, Javascript, Xml, Html, Java, Sql
"
Junior Java Developer,BCA  ( Computer Application )  ,"
Advanced Java, Core Java, Java, Sql, Hibernate, JDBC, oracle, JSP, Spring Boot, Spring Mvc, microservices, MySQL, HTML, CSS
"
Java Full Stack Developer,BCA  ( Computer Application )  ,"
java, Sql, Css, Javascript, HTML, React js
"
"ASSOCIATE CHIEF MANAGER - Java Team Lead, Team Leader",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Creative Proficiency,
Java, J2EE, JSP, Struts1.2 and EJB2.1 with Oracle 10g, osgi, mysql, gwt, Spring, Hibernate, MSSQL, Restful Webservices, Servlets, Core Java
"
"Java Developer, Software Engineer",BE /  B.Tech  ( Engineering )  ,"
Core Java, JavaScript, Spring Mvc, Struts, Sql Queries, Spring Boot
"
"Consultant Trainer-JAVA, Center Manager",BE /  B.Tech  ( Engineering )  ,"Training/Mentoring, Interpersonal Abilities, Technical Proficiency,
Java, Spring Framework, Spring Boot, Hibernate, Maven, angular, Python
"
"Junior Java Developer, Programmer analyst",BE /  B.Tech  ( Engineering )  ,"
Core Java, Spring Boot, microservice, Data Structures, Algorithm Design, my sql, Java, Problem Solver, Team Player, Good Communication, Team Management
"
Full Stack Java Developer,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2014
	                    
                    	","Technical Proficiency, Interpersonal Abilities, Analytical Proficiency,
JAVA, SQL SERVER, angular, Core Java, Java Server Pages, Spring Boot, Spring Framework, Mysql Dba, Hibernate, JDBC, JavaScript, Css3, Jquery, java jpa, Servlets, java jsp, Apache Tomcat, Html5
"
Associate Engineer Java Developer,BE /  B.Tech  ( Engineering )  ,"
java, sql, spring boot, rest api, html, mongo db, spring mvc, , core java, spring
"
"Java Developer 10+yrs , Senior Lead Software Developer",BCA  ( Computer Application )  ,"Management Proficiency, Planning/Organizing, Creative Proficiency,
JAVA, spring boot, Spring Mvc, rest, Micro services, Jee, Spring Security, Spring Framework, JDBC, JUnit, Hibernate, Pmd, Sonarqube, Maven, Ant, Gradle, Jenkins, Cvs, Tortoise Svn, Github, Eclipse, Postman, Soap Ui, tealeaf, Dynatrace, kubernetes, Amazon Aws
"
Java full stack developer,B.Sc.  ( Science )  ,"
HTML, CSS, JavaScript, React JS, Java, Spring Boot, Core Java, spring data jpa, Advanced Java, Mysql
"
Java Microservices Developer,BE /  B.Tech  ( Engineering )  ,"
java, springboot, php, postman, maven
"
"Full stack Java developer , Java developer","Planning/Organizing, Communication Proficiency, Interpersonal Abilities,","
, Core java, Spring MVC, Hibernate, JSP, Servlet, Javascript, AJAX, Jstl, Maven, MySQL, Spring Boot, JSF, JUnit, Github, Oracle and Developer
"
"Fullstack Java Developer, Software Developer",BE /  B.Tech  ( Engineering )  ,"
Core Java, Spring, Hibernate, Jsp, JDBC, Servlet, Data Structures, MySQL, oracle, sql, Svn, Git, Linux, Apache Tomcat, Design Patterns, Reactjs
"
"Java Developer, Trainee","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2022
	                    
                    	","Creative Proficiency, Technical Proficiency, Research Proficiency,
Software Developer, Software Programmer, programmer, Core Java, Python, Advanced Java
"
"Java lead developer, Team Lead software developer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Creative Proficiency, Technical Proficiency,
Core Java, Advanced Java, Java, Spring, Hibernate, JDBC, Tomcat, Jboss, Eclipse, Junit, Log4j, Maven, Html5, Css3, Jquery, Javascript, Ajax, Json, Rest, Soap, Web Services, Xml, Java Design Patterns, Rpa, Artificial Intelligence, Machine Learning, workfusion, Spring Boot, Spring cloud, Micro services, Cloud
"
"Sr.Java Developer, Sr.Java Developer","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2013
	                    
                    	","Communication Proficiency, Management Proficiency, Analytical Proficiency,
java, html, j2ee, Hibernate, Maven, jstl, sql server 2010, JavaScript, vaadin, JSP, Servlets, Java Web Services, Spring Framework
"
java Developer,BE /  B.Tech  ( Engineering )  ,"
Java Developer, software developer, developer
"
"Java Developer Engineer, Mission Manager or Assistant Engineer","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Technical Proficiency, Planning/Organizing, Interpersonal Abilities,
Java Programmer, Spring Boot, MySQL, Spring Mvc, Github, Java, Html, Advanced J2EE, Hibernate, Oracle
"
"Java developer , Java developer",BE /  B.Tech  ( Engineering )  ,"
Core Java, Spring Boot, java script
"
"Java Developer, Technology Analyst","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2012
	                    
                    	","Interpersonal Abilities, Communication Proficiency, Technical Proficiency,
java angular
"
"Java Angular Full Stack Developer, Web Designer","Diploma-Other Diploma , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2018
	                    
                    	","Planning/Organizing, Management Proficiency, Interpersonal Abilities,
ajax, angular, bootstrap, Couchdb, css, Enterprise Java, Hibernate, html, javascript, jquery, Kafka, microservices, Mongodb, Node.js, photoshop, Spring, Spring Boot, web 2.0, web design, xml, Aws Certified, AWS
"
"Sr Java Developer, Jr Developer","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2010
	                    
                    	","Technical Proficiency, Management Proficiency, Planning/Organizing,
Java Programmer, Spring, Spring Boot, Hibernate, Java, J2EE
"
"Junior Java developer, software Engineer","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2020
	                    
                    	","
HTML, CSS, CORE JAVA, JDBC, SERVLET, JSP, SPRINGBOOT, Hibernate, JPA, microservices, Restful Webservices, Docker, Linux, Sql, Mongodb
"
"Senior Java Developer, Senior Consultant","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2012
	                    
                    	","Planning/Organizing, Communication Proficiency, Research Proficiency,
core java, Spring, Spring Batch, Spring Boot, Spring Mvc, Microservice, SQL
"
Associate Java Developer,BCA  ( Computer Application )  ,"
java, java8, springboot, hibernate, spring data jpa, microservices, restful api, git, spring mvc
"
"Java Developer, Web Development","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2014
	                    
                    	","Planning/Organizing, Interpersonal Abilities, Communication Proficiency,
Core Java, Jsp, Jdbc, Jquery, Bootstrap, Javascript, Mvc, Eclipse, J2ee, Html Developer, Spring Mvc, Spring Security, Spring, mendix, Spring Boot, MySQL
"
JAVA dEVELOPER,"MCA /  PGDCA
                  	
	                  	
                    	","
Java Developer
"
"Java Developer, Software Development Analyst",BE /  B.Tech  ( Engineering )  ,"Accomplishments, Creative Proficiency, Planning/Organizing,
Core Java, Advanced J2EE, Springboot, Hibernate Framework, Java 8, sql
"
"Java developer, Java trainee",BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Planning/Organizing, Research Proficiency,
Advanced Java, Core Java, Jsp, Servlets, Hibernate, Spring, J2ee, Java, C, c++
"
"Java Lead, Developer","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Management Proficiency, Technical Proficiency,
java, j2ee, hibernate, spring, microservices, Docker, kubernetes, Gcp, Kafka, Jquery, JavaScript, Spring Boot
"
Java Production Support Backend Development,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2013
	                    
                    	","
Core Java, Advanced J2EE, servlet, JSP, Spring Framework, Spring Boot, Json, pojo, JDBC, Html Developer, CSS, java script, Java Rmi, Soap, Java Web Services, MVC, my sql, oracle, Data Structures
"
java developer,"B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2018
	                    
                    	","
core java, jsp, servlets, jdbc, html, spring, hibernate, sql / plsql, Spring Boot
"
Java Backend Developer,BE /  B.Tech  ( Engineering )  ,"
Core Java, Spring Boot, Hibernate, MySQL, Spring Framework, Spring MVC, JSP Servlet, Agile, Microserviese
"
Java Team Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Communication Proficiency,
Jpa, Core Java, J2EE, Spring, Hibernate, Servlets, Restful Webservices, Soap, Json, JMS, Sms Gateway, Ussd, springboot, Kafka, Aws, Angularjs, angular, Jquery, microservices, spring cloud, JUnit, Rabbitmq, aws s3, aws ec2, S3, Ec2, Rds, Iam, serverless architecture, Design Patterns, Eclipse, Tomcat, Jboss, Spring Security, Spring Mvc, Spring Core, Maven, Jenkins, Git, Gradle, Mockito
"
"Java developer , Associate Software Engineer",BE /  B.Tech  ( Engineering )  ,"
Core Java, JDBC, Hibernate, Spring Boot, MS SQL
"
Senior Developer- JAVA,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2010
	                    
                    	","Planning/Organizing, Management Proficiency, Communication Proficiency,
Java / J2ee, jdbc, sql, struts2, javascript, html, AJAX, Spring Boot, Hibernate, microservice, Docker
"
As Junior Java Developer,"B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2016
	                    
                    	","
Advanced Java, Mysql, Spring Boot, Mongodb, Sql
"
Python Developer,BE /  B.Tech  ( Engineering )  ,"
python developer, Django, Mysql, Css, Html
"
Software Developer ( Python ),BE /  B.Tech  ( Engineering )  ,"
Good communication skill, Time Management, Team Player, MS Excel, Power point, C, c++, python, sql, plotly, matplotlib, pandas, Data Visualization
"
"Software Engineer ( Python ) , Software Engineer ( Python / Django )",Other School /  Graduation ,"
python, django, rest framework, twilio, postman, redis, rabbitmq, rest
"
Python developer,"MCA /  PGDCA
                  	
	                  	
                    	","
Python, Java, Python
"
python developer-intern,BE /  B.Tech  ( Engineering )  ,"
Python, Machine Learning, Linux, HTML, CSS, Javascript
"
"Junior Python Developer, Python Full Stack Development Intern",BE /  B.Tech  ( Engineering )  ,"
Python, Microsoft Office, Communication, Hard Working, Django, Css, Html, Bootstrap, Angular Javascript, Jquery, PostgreSQL, Postgres, Database, django rest framework, Sql, Api, restful apis, Reactjs, Mongodb, Aws, Ec2, Docker, celery, Redis, webhook, sentry, OOPS
"
"Jr Python Developer , Bigdata Analyst-intern","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2014
	                    
                    	","Research Proficiency, Communication Proficiency, Analytical Proficiency,
Python, c, c++, Spark, Hive, Mapreduce, Hadoop, Sqoop, Hbase, Big Data, Sql, HTML, CSS, Django, Javascript, numpy, Matplotlib, Data Analysis
"
Python Django Developer,Diploma-Engineering ,"Management Proficiency, Technical Proficiency, Interpersonal Abilities,
Django, Python, PHP and Developer, JavaScript, AJAX, CSS, HTML, Jquery, Json, XML API, Api, Deployment
"
